id,Rank,Country,TotalPrize,NumPlayers,TopGame,TopGameEarnings,TopGamePct
156,1,China,333125153.95,9387,Dota 2,86891959.84,26.08
840,2,United States,302310373.81,29506,Fortnite,53027943.18,17.54
410,3,Korea,157154934.92,5987,League of Legends,41645617.74,26.5
643,4,Russian Federation,98802081.46,5900,Dota 2,43702776.36,44.23
76,5,Brazil,74227001.41,6076,Rainbow Six Siege,13311887.49,17.93
208,6,Denmark,64983477.8,2212,Counter-Strike: Global Offensive,23097482.88,35.54
250,7,France,63305148.91,6709,Counter-Strike: Global Offensive,9837046.88,15.54
752,8,Sweden,59204386.47,3367,Dota 2,19712156.23,33.3
276,9,Germany,53322358.81,6986,Dota 2,11787651.15,22.11
124,10,Canada,50923056.73,4397,Fortnite,9302404.96,18.27
826,11,United Kingdom,50678488.56,5750,Fortnite,8814283.8,17.39
392,12,Japan,43539468.19,4007,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,5800971.79,13.32
804,13,Ukraine,41266588.03,1727,Dota 2,23998272.69,58.15
36,14,Australia,34850191.99,4639,Dota 2,8037226.7,23.06
246,15,Finland,34242723.88,2216,Dota 2,17476715.63,51.04
616,16,Poland,32940769.41,3164,Counter-Strike: Global Offensive,8387347.8,25.46
764,17,Thailand,31615491.27,2319,Arena of Valor,7319551.96,23.15
608,18,Philippines,27381660.37,1918,Dota 2,12177411.28,44.47
458,19,Malaysia,23483951.29,1723,Dota 2,14607944.37,62.2
158,20,"Taiwan, Republic of China",23126488.07,1726,League of Legends,5975442.71,25.84
360,21,Indonesia,21898365.11,2653,Free Fire,5211526.21,23.8
704,22,Viet Nam,20062703.41,2831,Arena of Valor,5040274.48,25.12
528,23,Netherlands,19417763.5,2259,Fortnite,3554617.69,18.31
724,24,Spain,16836886.45,2920,Rocket League,1665894.22,9.89
682,25,Saudi Arabia,15933871.91,1763,Rocket League,4643417.95,29.14
792,26,Turkey,15372442.78,1736,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,3761651.81,24.47
578,27,Norway,14368356.16,1436,Fortnite,3476489.68,24.2
376,28,Israel,11445555.89,309,Dota 2,6631114.65,57.94
484,29,Mexico,11088869.33,1601,Fortnite,2289163.79,20.64
32,30,Argentina,11054993.83,1595,Fortnite,2731740.03,24.71
100,31,Bulgaria,10520011.81,450,Dota 2,6171762.25,58.67
400,32,Jordan,9954854.92,173,Dota 2,8824338.05,88.64
604,33,Peru,9845444.01,727,Dota 2,8101662.08,82.29
380,34,Italy,8436692.19,1756,Fortnite,891903.4,10.57
233,35,Estonia,8344307.33,377,Dota 2,4347152.4,52.1
