id,Rank,PerCapitaRank,Country,TotalPrize,NumPlayers,Population,PrizePerMillion,PlayersPerMillion,TopGame,TopGamePct
208,6,1,Denmark,64983477.8,2212,5946952,10927190.57,371.96,Counter-Strike: Global Offensive,35.54
246,15,2,Finland,34242723.88,2216,5583911,6132390.7,396.85,Dota 2,51.04
233,35,3,Estonia,8344307.33,377,1370286,6089464.05,275.13,Dota 2,52.1
752,8,4,Sweden,59204386.47,3367,10536632,5618909.96,319.55,Dota 2,33.3
292,107,5,Gibraltar,129663.11,2,38471,3370411.74,51.99,PLAYERUNKNOWN’S BATTLEGROUNDS,97.43
410,3,6,Korea,157154934.92,5987,51712619,3039005.53,115.77,League of Legends,26.5
776,97,7,Tonga,293090.17,1,104597,2802089.64,9.56,Call of Duty: Warzone,100.0
446,66,8,Macao,1819458.11,37,678800,2680403.82,54.51,Dota 2,73.46
578,27,9,Norway,14368356.16,1436,5519601,2603151.24,260.16,Fortnite,24.2
807,50,10,North Macedonia,4706315.64,94,1827816,2574830.09,51.43,Dota 2,79.17
428,54,11,Latvia,3757817.92,368,1883710,1994902.57,195.36,Counter-Strike: Global Offensive,37.64
496,41,12,Mongolia,6868171.72,346,3481145,1972963.41,99.39,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,41.32
100,31,13,Bulgaria,10520011.81,450,6446596,1631870.81,69.8,Dota 2,58.67
705,56,14,Slovenia,3444842.44,187,2120461,1624572.41,88.19,Fortnite,62.35
702,37,15,Singapore,7840011.31,1210,5917648,1324852.6,204.47,Dota 2,35.63
36,14,16,Australia,34850191.99,4639,26659922,1307212.83,174.01,Dota 2,23.06
124,10,17,Canada,50923056.73,4397,40083484,1270424.91,109.7,Fortnite,18.27
70,53,18,Bosnia and Herzegovina,4020227.68,89,3185073,1262208.96,27.94,Counter-Strike: Global Offensive,51.76
703,42,19,Slovakia,6654328.66,400,5426740,1226211.07,73.71,Dota 2,48.28
376,28,20,Israel,11445555.89,309,9849000,1162103.35,31.37,Dota 2,57.94
804,13,21,Ukraine,41266588.03,1727,37732836,1093651.91,45.77,Dota 2,58.15
528,23,22,Netherlands,19417763.5,2259,17877117,1086179.81,126.36,Fortnite,18.31
422,47,23,Lebanon,5874730.12,126,5773493,1017534.81,21.82,Dota 2,86.71
158,20,24,"Taiwan, Republic of China",23126488.07,1726,23570000,981183.2,73.23,League of Legends,25.84
440,61,25,Lithuania,2696555.83,431,2871585,939047.89,150.09,Counter-Strike: Global Offensive,26.25
250,7,26,France,63305148.91,6709,68372286,925889.02,98.12,Counter-Strike: Global Offensive,15.54
616,16,27,Poland,32940769.41,3164,36687353,897878.06,86.24,Counter-Strike: Global Offensive,25.46
840,2,28,United States,302310373.81,29506,336806231,897579.52,87.61,Fortnite,17.54
400,32,29,Jordan,9954854.92,173,11439213,870239.49,15.12,Dota 2,88.64
51,63,30,Armenia,2350099.48,56,2964300,792800.82,18.89,Dota 2,59.84
499,91,31,Montenegro,491235.7,19,623529,787831.36,30.47,Counter-Strike: Global Offensive,78.71
826,11,32,United Kingdom,50678488.56,5750,68492000,739918.36,83.95,Fortnite,17.39
352,98,33,Iceland,283300.68,183,385663,734580.92,474.51,Overwatch,36.1
40,43,34,Austria,6628282.31,752,9131761,725849.3,82.35,Fortnite,58.34
344,48,35,Hong Kong,5380808.51,720,7536100,714004.39,95.54,Fortnite,23.15
688,51,36,Serbia,4666060.03,448,6623183,704504.17,67.64,Fortnite,49.01
498,67,37,Moldova,1706897.78,82,2457783,694486.77,33.36,Dota 2,76.67
643,4,38,Russian Federation,98802081.46,5900,143826130,686955.02,41.02,Dota 2,44.23
458,19,39,Malaysia,23483951.29,1723,35126298,668557.54,49.05,Dota 2,62.2
203,39,40,Czech Republic,7112140.35,1308,10864042,654649.56,120.4,Dota 2,18.45
276,9,41,Germany,53322358.81,6986,83287273,640222.17,83.88,Dota 2,22.11
112,49,42,Belarus,5345267.51,441,9178298,582381.12,48.05,Dota 2,44.03
620,46,43,Portugal,6112590.52,1234,10578174,577849.31,116.66,Counter-Strike: Global Offensive,16.06
191,64,44,Croatia,2203492.13,331,3859686,570899.32,85.76,League of Legends,32.84
