Year,Genre,TotalEarnings
1998,First-Person Shooter,101800.0
1998,Strategy,52000.0
1999,First-Person Shooter,135600.0
1999,Strategy,149719.12
2000,First-Person Shooter,456286.15
2000,Sports,50000.0
2000,Strategy,263497.33
2001,First-Person Shooter,623329.18
2001,Sports,46000.0
2001,Strategy,270903.3
2002,First-Person Shooter,672477.01
2002,Sports,43000.0
2002,Strategy,319303.68
2003,First-Person Shooter,1190476.07
2003,Sports,55566.44
2003,Strategy,667341.69
2004,First-Person Shooter,1833556.92
2004,Sports,65000.0
2004,Strategy,1097528.33
2005,First-Person Shooter,2981812.31
2005,Multiplayer Online Battle Arena,1736.36
2005,Sports,124973.19
2005,Strategy,1192733.13
2006,First-Person Shooter,3567334.86
2006,Multiplayer Online Battle Arena,738.83
2006,Sports,245069.99
2006,Strategy,1503557.42
2007,First-Person Shooter,3836056.45
2007,Multiplayer Online Battle Arena,40744.67
2007,Sports,454365.55
2007,Strategy,2209868.9
2008,First-Person Shooter,3937062.84
2008,Multiplayer Online Battle Arena,89522.01
2008,Sports,321017.4
2008,Strategy,2095251.92
2009,First-Person Shooter,2172870.47
2009,Multiplayer Online Battle Arena,142530.2
2009,Sports,134159.94
2009,Strategy,1130969.24
2010,First-Person Shooter,3115195.68
2010,Multiplayer Online Battle Arena,234313.84
2010,Sports,135244.12
2010,Strategy,2047431.03
2011,First-Person Shooter,3462512.27
2011,Multiplayer Online Battle Arena,2628685.78
2011,Sports,91941.92
2011,Strategy,3854952.57
2012,First-Person Shooter,2100322.84
2012,Multiplayer Online Battle Arena,6943282.61
2012,Sports,73996.72
2012,Strategy,4598467.98
2013,First-Person Shooter,4155047.85
2013,Multiplayer Online Battle Arena,11499915.29
2013,Sports,939992.08
2013,Strategy,4687413.38
2014,First-Person Shooter,4902534.36
2014,Multiplayer Online Battle Arena,25763930.16
2014,Sports,213079.64
2014,Strategy,4861180.7
2015,Battle Royale,173328.0
2015,First-Person Shooter,11143254.71
2015,Multiplayer Online Battle Arena,45955597.58
2015,Sports,566943.59
2015,Strategy,4910645.05
2016,Battle Royale,267244.0
2016,First-Person Shooter,30203402.88
2016,Multiplayer Online Battle Arena,55328614.24
2016,Sports,1657732.81
2016,Strategy,5007811.7
2017,Battle Royale,2259353.6
2017,First-Person Shooter,35603461.88
2017,Multiplayer Online Battle Arena,60194087.7
2017,Sports,4983290.57
2017,Strategy,6557092.47
2018,Battle Royale,30211551.44
2018,First-Person Shooter,44966671.03
2018,Multiplayer Online Battle Arena,71426015.61
2018,Sports,7837461.57
2018,Strategy,6212113.21
2019,Battle Royale,100250464.46
2019,First-Person Shooter,47979739.91
2019,Multiplayer Online Battle Arena,70967023.69
2019,Sports,10480477.1
2019,Strategy,10054591.85
2020,Battle Royale,38784215.27
2020,First-Person Shooter,47764386.57
2020,Multiplayer Online Battle Arena,31115017.3
2020,Sports,8010821.26
2020,Strategy,12496734.49
2021,Battle Royale,71409595.74
2021,First-Person Shooter,65749441.1
2021,Multiplayer Online Battle Arena,80796789.35
2021,Sports,14616862.31
2021,Strategy,13923110.55
2022,Battle Royale,63563059.75
2022,First-Person Shooter,57334689.02
2022,Multiplayer Online Battle Arena,87993017.19
2022,Sports,19704853.73
2022,Strategy,16642155.65
2023,Battle Royale,55779951.1
2023,First-Person Shooter,60471298.93
2023,Multiplayer Online Battle Arena,65347943.67
2023,Sports,21337090.2
2023,Strategy,17300134.98
2024,Battle Royale,27380491.32
2024,First-Person Shooter,43243003.42
2024,Multiplayer Online Battle Arena,41827920.08
2024,Sports,14381869.69
2024,Strategy,11714351.9
