Rank,Handle,RealName,Country,TotalEarnings,TopGame,TopGameEarnings,TopGamePct
1,N0tail,Johan Sundstein,Denmark,7184163.05,Dota 2,7172436.83,99.84
2,JerAx,Jesse Vainikka,Finland,6486623.98,Dota 2,6486075.22,99.99
3,Miposhka,Yaroslav Naidenov,Russian Federation,6250134.89,Dota 2,6250134.89,100
4,ana,Anathan Pham,Australia,6024411.96,Dota 2,6024411.96,100
5,Yatoro,Ilya Mulyarchuk,Ukraine,5990099.45,Dota 2,5990099.45,100
6,Collapse,Magomed Khalilov,Russian Federation,5985474.47,Dota 2,5985474.47,100
7,Ceb,Sébastien Debs,France,5949442.73,Dota 2,5949442.73,100
8,Topson,Topias Taavitsainen,Finland,5898810.6,Dota 2,5898810.6,100
9,Mira,Miroslaw Kolpakov,Ukraine,5661262.45,Dota 2,5661262.45,100
10,KuroKy,Kuro Takhasomi,Germany,5295698.85,Dota 2,5293199.59,99.95
11,Miracle-,Amer Al-Barkawi,Jordan,4913585.26,Dota 2,4913585.26,100
12,Matumbaman,Lasse Urpalainen,Finland,4873086.24,Dota 2,4873086.24,100
13,MinD_ContRoL,Ivan Ivanov,Bulgaria,4704032.25,Dota 2,4704032.25,100
14,TORONTOTOKYO,Alexander Khertek,Russian Federation,4562226.9,Dota 2,4562226.9,100
15,GH,Maroun Merhej,Lebanon,4391703.4,Dota 2,4391703.4,100
16,Ame,"Wang, Chunyu",China,4386914.47,Dota 2,4386914.47,100
17,Puppey,Clement Ivanov,Estonia,4345228.38,Dota 2,4343494.79,99.96
18,Zai,Ludwig Wåhlberg,Sweden,4292756.02,Dota 2,4272661.31,99.53
19,SumaiL,Sumail Hassan,Pakistan,4171871.78,Dota 2,4171871.78,100
20,y`,"Zhang, Yiping",China,4090790.2,Dota 2,4090790.2,100
21,Faith_bian,"Zhang, Ruida",China,3998029.98,Dota 2,3998029.98,100
22,Nisha,Michał Jankowski,Poland,3885789.88,Dota 2,3885789.88,100
23,Bugha,Kyle Giersdorf,United States,3784225.05,Fortnite,3771558.38,99.67
24,Saksa,Martin Sazdov,North Macedonia,3706159.18,Dota 2,3706159.18,100
25,Cr1t,Andreas Nielsen,Denmark,3600375.58,Dota 2,3600375.58,100
26,Sneyking,"Wu, Jingjun",United States,3555475.99,Dota 2,3554475.99,99.97
27,33,Neta Shapira,Israel,3468527.03,Dota 2,3468527.03,100
28,Somnus,"Lu, Yao",China,3311808.66,Dota 2,3311808.66,100
29,Skiter,Oliver Lepko,Slovakia,3204439.55,Dota 2,3204439.55,100
30,fy,"Xu, Linsen",China,3163545.98,Dota 2,3163545.98,100
31,UNiVeRsE,Saahil Arora,United States,3057237.67,Dota 2,3057237.67,100
32,ppd,Peter Dager,United States,3029331.36,Dota 2,3001619.62,99.09
33,Fly,Tal Aizik,Israel,2888903.39,Dota 2,2871488.49,99.4
34,s4,Gustav Magnusson,Sweden,2749194.7,Dota 2,2744135.93,99.82
35,Arteezy,Artour Babaev,Canada,2714369.91,Dota 2,2714369.91,100
36,apEX,Dan Madesclaire,France,2627140.64,Counter-Strike 2,1321583.94,50.31
37,Fear,Clinton Loomis,United States,2564904.63,Dota 2,2562957.34,99.92
38,KaKa,"Hu, Liangzhi",China,2548691.89,Dota 2,2548691.89,100
39,ropz,Robin Kool,Estonia,2541702.41,Counter-Strike 2,1360175,53.51
40,XinQ,"Zhao, Zixing",China,2383195.64,Dota 2,2383195.64,100
41,YapzOr,Yazied Jaradat,Jordan,2298690.64,Dota 2,2298690.64,100
42,w33,Aliwi Omar,Romania,2294325.43,Dota 2,2294325.43,100
43,Boxi,Samuel Svahn,Sweden,2280707.06,Dota 2,2238685.36,98.16
44,miCKE,Michael Vu,Sweden,2269699.82,Dota 2,2221632.03,97.88
45,iNsania,Aydin Sarkohi,Sweden,2255123.09,Dota 2,2204088.45,97.74
46,xNova,"Yap, Jian Wei",Malaysia,2225626.32,Dota 2,2225626.32,100
47,dupreeh,Peter Rasmussen,Denmark,2225525.08,Counter-Strike: Global Offensive,2181525.08,98.02
48,RAMZES666,Roman Kushnarev,Russian Federation,2207611.08,Dota 2,2207611.08,100
49,Aqua,David Wang,Austria,2198575.23,Fortnite,2193575.23,99.77
50,Ace,Marcus Hoelgaard,Denmark,2180817.11,Dota 2,2180817.11,100
51,Noone,Vladimir Minenko,Ukraine,2169663.58,Dota 2,2169663.58,100
52,dev1ce,Nicolai Reedtz,Denmark,2151239.98,Counter-Strike: Global Offensive,1981892.22,92.13
53,ZywOo,Mathieu Herbaut,France,2139359.31,Counter-Strike 2,1321475,61.77
54,karrigan,Finn Andersen,Denmark,2137877.62,Counter-Strike: Global Offensive,1651752.06,77.26
55,Larl,Denis Sigitov,Russian Federation,2104587.47,Dota 2,2104587.47,100
56,Aui_2000,Kurtis Ling,Canada,2073582.54,Dota 2,2073582.54,100
57,Resolut1on,Roman Fominok,Ukraine,2063162.95,Dota 2,2063162.95,100
58,Nine,Leon Kirilin,Germany,2058860.94,Dota 2,2058860.94,100
59,Magisk,Emil Reif,Denmark,2056823.63,Counter-Strike: Global Offensive,1881123.63,91.46
60,Solo,Aleksey Berezin,Russian Federation,2053081.34,Dota 2,2053081.34,100
61,Chalice,"Yang, Shenyi",China,2040114.72,Dota 2,2040114.72,100
62,NothingToSay,"Cheng, Jin Xiang",Malaysia,2021742.93,Dota 2,2021742.93,100
63,Quinn,Quinn Callahan,United States,2017070.27,Dota 2,2015670.27,99.93
64,iceice,"Li, Peng",China,2005164.63,Dota 2,2005164.63,100
65,aBeZy,Tyler Pharris,United States,2003905.68,Call of Duty: Black Ops Cold War,483750,24.14
66,Xyp9x,Andreas Højsleth,Denmark,2003061.83,Counter-Strike: Global Offensive,2001391.93,99.92
67,Shadow,"Chu, Zeyu",China,1982030.82,Dota 2,1982030.82,100
68,Yinuo,"Xu, Bicheng",China,1981640.19,Arena of Valor,1981640.19,100
69,gla1ve,Lukas Rossander,Denmark,1965451.35,Counter-Strike: Global Offensive,1869687.1,95.13
70,bLink,"Zhou, Yang",China,1960761.59,Dota 2,1960761.59,100
71,psalm,Harrison Chang,United States,1959500,Fortnite,1874588.8,95.67
72,MidOne,"Zheng, Yeik Nai",Malaysia,1956531.44,Dota 2,1956531.44,100
73,Simp,Christopher Lehr,United States,1951328.33,Call of Duty: Black Ops Cold War,500833.33,25.67
74,HuaHai,"Luo, Siyuan",China,1941993.39,Arena of Valor,1941993.39,100
75,Faker,"Lee, Sang Hyeok","Korea, Republic of",1922084.56,League of Legends,1922084.56,100
76,rain,Håvard Nygaard,Norway,1886916.24,Counter-Strike: Global Offensive,1444216.24,76.54
77,xiao8,"Zhang, Ning",China,1877518.06,Dota 2,1870077.43,99.6
78,Serral,Joona Sotala,Finland,1866325.57,StarCraft II,1866325.57,100
79,kpii,Damien Chok,Australia,1865667.57,Dota 2,1865667.57,100
80,EpikWhale,Shane Cotton,United States,1860487.32,Fortnite,1860487.32,100
81,NiKo,Nikola Kovač,Bosnia and Herzegovina,1839660.15,Counter-Strike: Global Offensive,1301037.58,70.72
82,MagnusCarlsen,Magnus Carlsen,Norway,1821051.02,chess24,888242.12,48.78
83,iceiceice,Daryl Koh Pei Xiang,Singapore,1812855.42,Dota 2,1810455.42,99.87
84,Twistzz,Russel Van Dulken,Canada,1811568.1,Counter-Strike: Global Offensive,1546793.1,85.38
85,Cellium,McArthur Jovel,United States,1795548.93,Call of Duty: Black Ops Cold War,488750,27.22
86,Fly,"Peng, Yunfei",China,1788020.11,Arena of Valor,1788020.11,100
87,Faith,"Zeng, Hongda",China,1764633.21,Dota 2,1746056.72,98.95
88,Super,"Xie, Junhao",China,1764310.33,Dota 2,1744279.68,98.86
89,Hao,"Chen, Zhihao",China,1761674.53,Dota 2,1755233.44,99.63
90,9pasha,Pavel Khvastunov,Russian Federation,1733385.13,Dota 2,1733385.13,100
