Rank,Handle,RealName,Country,TotalEarnings,TopGame
1,ana,Anathan Pham,Australia,6024411.96,Dota 2
2,kpii,Damien Chok,Australia,1865667.57,Dota 2
3,TGLTN,James Giezen,Australia,891143.25,PUBG: Battlegrounds
4,Zer0,Rhye Perry,Australia,822260.56,Fortnite
5,jks,Justin Savage,Australia,711201.43,Counter-Strike
6,Genburten,Noyan Ozkose,Australia,585098.46,Apex Legends
7,Pred,Amer Zulbeari,Australia,570580.00,Apex Legends
8,Joshua Rogers,Joshua K Rogers,Australia,432139.99,Trackmania
9,Virtue,Jake Grannan,Australia,411820.90,Call of Duty
10,Muz,- -,Australia,341865.00,Fortnite
11,Mark11,Mark Zakhary,Australia,330391.17,—
12,Wxltzyy,Ben Walton,Australia,324154.48,—
13,Sharky,Rick Wirth,Australia,323479.15,—
14,Luke12,Luke Newey,Australia,321495.17,—
15,Torsos,Daniel Parsons,Australia,304911.17,—
16,Emtee,Matthew Trengove,Australia,242142.46,—
17,Fludd,Lachlan Thompson,Australia,230689.53,—
18,dexter,Christopher Nong,Australia,218355.34,—
19,AZR,Aaron Ward,Australia,217109.44,—
20,Volx,Baran -,Australia,216400.47,—
21,Fever,Lachlan Aitchison,Australia,201777.67,—
22,Chanimal,Adam Chan,Australia,190412.50,—
23,liazz,Jay Tregillgas,Australia,187766.01,—
24,Amphis,Luke Riddell,Australia,177661.06,—
25,bananahead,Jon Anastasakis,Australia,176280.18,—
