Rank,Tournament,PrizePool,Game
1,The International 2021,40018400.0,Dota 2
2,The International 2019,34330069.0,Dota 2
3,The International 2018,25532177.0,Dota 2
4,The International 2017,24687919.0,Dota 2
5,The International 2016,20770460.0,Dota 2
6,The International 2022,18930256.0,Dota 2
7,The International 2015,18429613.05,Dota 2
8,Fortnite World Cup Finals 2019 - Solo,15287500.0,Fortnite
9,Riyadh Masters 2023,15120000.0,Dota 2
10,Fortnite World Cup Finals 2019 - Duo,15100000.0,Fortnite
11,The International 2014,10931103.0,Dota 2
12,Honor of Kings International Championship 2022,10000000.0,Arena of Valor
13,Honor of Kings International Championship 2023,9747684.74,Arena of Valor
14,King Pro League Grand Finals 2024,9678529.0,Arena of Valor
15,Honor of Kings World Champion Cup 2021,7742070.0,Arena of Valor
16,PGI.S 2021 Main Event,7068071.0,PLAYERUNKNOWN'S BATTLEGROUNDS
17,LoL 2018 World Championship,6450000.0,League of Legends
18,LoL 2016 World Championship,5070000.0,League of Legends
19,Riyadh Masters 2024,5050000.0,Dota 2
20,LoL 2017 World Championship,4946969.0,League of Legends
